Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
784369371130	1.00	7.99	6/19/15	Toy - Sea Shammie's - Crab			3.25	Pet	I-51651	P-1944	7.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD052365A-Dog Report-OSFA	1.00	3.00	6/19/15	Card, Dog Report, OSFA	Dog Report		1.50	Product	I-51651	P-7531	3.00	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDCTCRSC	1.00	3.50	6/19/15	Cat Toy - Crab - Red			1.60	Pet	I-51651	P-1971	3.50		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD000003MA	1.00	4.05	6/19/15	Bottle Suit - Magenta (10% OFF Drinkware)	Magenta		1.56	Product	I-51651	P-2034	4.05	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
689076894173	1.00	4.05	6/19/15	Bottle Suit - Lime (10% OFF Drinkware)	Lime		1.56	Product	I-51651	P-2032	4.05	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
689076893978	1.00	4.05	6/19/15	Bottle Suit - Navy (10% OFF Drinkware)	Navy		1.56	Product	I-51651	P-2036	4.05	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00070NY	1.00	2.69	6/19/15	Can Holder - Navy (10% OFF Drinkware)	Navy		0.84	Product	I-51651	P-2037	2.69	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00070KG	1.00	2.99	6/19/15	Can Holder - Kelly Green	Kelly Green		0.85	Product	I-51652	P-2050	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD000755-NY-M	1.00	39.00	6/19/15	Men's S/S Polo - NY - M	NY	Navy	16.97	Polos	I-51652	P-7395	39.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-IR-L	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, IR, L	IR		4.78	T-Shirt	I-51653	P-7311	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-WA-L	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, WA, L	WA		4.78	T-Shirt	I-51653	P-3479	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-CR-XL	1.00	19.00	6/19/15	Comfort Soft S/S, CR, XL	Crimson		4.20	T-Shirt	I-51653	P-3164	19.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD002206-PC-S	1.00	15.00	6/19/15	Youth Camo S/S, PC, S	Pink Camo		4.93	T-Shirt	I-51654	P-4056	15.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD002206-CA-M	1.00	15.00	6/19/15	Youth Camo S/S, CA, M	Camo		4.97	Specialty Prints	I-51654	P-2710	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5380RD-WH-M	1.00	14.00	6/19/15	Youth Retro S/S, WH, M	White		2.30	Specialty Prints	I-51654	P-2724	14.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDC79M - Navy - S/M	-1.00	-18.99	6/19/15	Hat - Sun Hat - Navy - S/M	Navy		8.79	Hat	I-51655	P-1428	18.99	S/M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SDC79M - Navy - L/XL	1.00	18.99	6/19/15	Hat - Sun Hat - Navy - L/XL	Navy		8.74	Hat	I-51655	P-1426	18.99	L/XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SP5180GJ-DY-XL	1.00	15.00	6/19/15	Gentleman Jake, DY, XL	DY		3.22	Specialty	I-51655	P-2446	15.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SP5180GJ-DY-L	-1.00	-15.00	6/19/15	Gentleman Jake, DY, L	DY		3.22	Specialty	I-51655	P-2444	15.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SPNTRTAD-PS-L	1.00	15.00	6/19/15	Tank Top - Dog Days of Summer, PS, L	PS		4.89	Specialty	I-51656	P-7251	15.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-RE-L	1.00	12.00	6/19/15	Patriot Dog S/S, RE, L	Red		3.39	T-Shirt	I-51656	P-3407	12.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD3413C-Green-L	1.00	22.00	6/19/15	Triblend S/S, Green, L	Green		4.59	T-Shirt	I-51657	P-3435	22.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0015277BL	1.00	9.99	6/19/15	Playground Ball - Blue	Blue		5.41	Product	I-51658	P-1991	9.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD7007 - Red - Youth	1.00	12.99	6/19/15	Visor - Red - Youth	Red		4.81	Hat	I-51658	P-1534	12.99	Youth	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDY66WT2 - Royal - Youth	1.00	12.99	6/19/15	Visor - Royal - Youth	Royal		5.00	Hat	I-51658	P-1542	12.99	Youth	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD3413C-Red-XL	1.00	22.00	6/19/15	Triblend S/S, Red, XL	Red		4.59	T-Shirt	I-51659	P-3447	22.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51659	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD003607-RE-XL	1.00	18.00	6/19/15	V-Neck S/S Junior Fit, RE, XL	Red		3.09	T-Shirt	I-51659	P-3897	18.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005100PS	1.00	2.99	6/19/15	Luggage Tag - Pink	Pink		0.50	Product	I-51659	P-2199	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005100RE	1.00	2.99	6/19/15	Luggage Tag - Red	Red		0.51	Product	I-51659	P-2200	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0030176RE	1.00	2.50	6/19/15	Fridge Clip - Red	Red		1.05	Product	I-51659	P-2156	2.50	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0030176RE	1.00	2.50	6/19/15	Fridge Clip - Red	Red		1.05	Product	I-51659	P-2156	2.50	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
