Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
SD002214-NY-L	1.00	16.00	6/19/15	Youth L/S, NY, L	Navy		3.55	T-Shirt	I-51685	P-3982	16.00	L (14-16)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-KI-XL	1.00	19.00	6/19/15	Comfort Soft S/S, KI, XL	Kiwi		4.10	T-Shirt	I-51685	P-3167	19.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005380-AX-M	1.00	15.00	6/19/15	Youth Beefy S/S, AX, M	Athletic Orange		3.10	T-Shirt	I-51685	P-4033	15.00	M (10-12)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00P360-PI-S	1.00	14.40	6/19/15	Youth Sweatshirt, PI, S (20% OFF Sweatshirts)	Pale Pink		5.75	Sweatshirt	I-51685	P-2923	14.40	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0882L-HP-2X	1.00	15.00	6/19/15	Tank Top - Women's, HP, 2X	HP		4.58	T-Shirt	I-51686	P-7218	15.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD2700-NY-L	1.00	16.00	6/19/15	Tank Top-Shooter, NY, L	NY		3.78	Tank Top	I-51686	P-4103	16.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5380PD-NY-L	1.00	12.00	6/19/15	Youth Patriot Dog S/S, NY, L	Navy		3.37	Specialty Prints	I-51687	P-2720	12.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006014-LG-S	1.00	22.00	6/19/15	Comfort Soft L/S, LG, S	Light Green		6.65	T-Shirt	I-51687	P-2972	22.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-WA-S	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, WA, S	WA		4.78	T-Shirt	I-51688	P-3477	19.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD1000TD-BJ-2X	1.00	20.00	6/19/15	Tie-Dye S/S, BJ, 2X	Blue Jerry Tie Dye		5.51	T-Shirt	I-51689	P-3376	20.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP3522VC-HP-S/M	1.00	18.00	6/19/15	V-Neck Beach Cover-Up, HP, S/M	HP		6.20	Specialty Prints	I-51690	P-2667	18.00	S/M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005100BL	3.00	8.97	6/19/15	Luggage Tag - Blue	Blue		0.50	Product	I-51690	P-2195	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWG5000-2283C-S	1.00	12.00	6/19/15	Color of the Week, Neon Green, S	2283C	Neon Green	2.36	T-Shirt	I-51691	P-7714	12.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP6030-BY-2X	1.00	18.00	6/19/15	Sailor Jake S/S-Pocket, BY, 2X	Bay		6.04	T-Shirt	I-51692	P-6882	18.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDSJS6OZ	1.00	7.00	6/19/15	Jake Shake - 6 oz			3.01	Product	I-51693	P-2104	7.00	6 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0TAFFYPMBG	1.00	6.99	6/19/15	Taffy - Peppermint - 12 oz	Peppermint		2.24	Product	I-51694	P-2102	6.99	12 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CW5180-Safety Green-M	1.00	17.00	6/19/15	Hanes S/S, Safety Green, M	Safety Green		1.95	Specialty Prints	I-51695	P-2530	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005100PS	1.00	2.99	6/19/15	Luggage Tag - Pink	Pink		0.50	Product	I-51695	P-2199	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-RC-3X	1.00	19.00	6/19/15	Comfort Soft S/S, RC, 3X	Royal Caribbean		6.44	T-Shirt	I-51696	P-3366	19.00	3X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD9018DD-CB-XS	1.00	14.00	6/19/15	Youth Dog Did It S/S, CB, XS	Crunch Berry		3.83	T-Shirt	I-51697	P-4059	14.00	XS	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP2623GL-LW-S	1.00	12.00	6/19/15	Girl's Tank - Love, LW, S	LW		2.34	Specialty Prints	I-51697	P-2740	12.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005380-YO-L	1.00	15.00	6/19/15	Youth Beefy S/S, YO, L	Carolina Blue		2.39	T-Shirt	I-51697	P-4050	15.00	L (14-16)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-RE-L	1.00	17.00	6/19/15	Hanes Beefy S/S, RE, L	Red		3.34	T-Shirt	I-51697	P-3233	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-PR-M	1.00	17.00	6/19/15	Hanes Beefy S/S, PR, M	Purple		3.31	T-Shirt	I-51697	P-3211	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDPT109M-Navy/Red-Adult	1.00	16.99	6/19/15	Hat - Plaid Mesh - Navy/Red - Adult	Navy/Red		4.42	Hat	I-51698	P-1489	16.99	Adult	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
TERVIS2-SD Logo-12 oz	1.00	12.99	6/19/15	Tervis - Tumbler - SD Logo - 12 oz	SD Logo		7.73	Product	I-51699	P-2098	12.99	12 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51699	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWLAT6901-GA-S	1.00	10.00	6/19/15	Color of the Week, GA, S	GA		2.86	T-Shirt	I-51699	P-6828	10.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51699	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51700	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD021042-RO/WH-42 inch	1.00	9.99	6/19/15	Umbrella, RO/WH, 42 inch	RO/WH		3.29	Product	I-51700	P-2027	9.99	42 inch	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-RC-L	1.00	19.00	6/19/15	Comfort Soft S/S, RC, L	Royal Caribbean		4.19	T-Shirt	I-51701	P-3160	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-WA-S	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, WA, S	WA		4.78	T-Shirt	I-51701	P-3477	19.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD002202SD	1.00	1.25	6/19/15	Party Cup - White	White		0.30	Product	I-51702	P-2065	1.25	16 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
729173901210	1.00	3.99	6/19/15	Magnet - my Mutts			1.24	Pet	I-51702	P-1782	3.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180RC-DM-M	1.00	15.00	6/19/15	Racer Dog S/S, DM, M	DM		3.22	Specialty Prints	I-51702	P-7009	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180GJ-BM-XL	1.00	15.00	6/19/15	Gentleman Jake, BM, XL	BM		3.22	Specialty	I-51702	P-2445	15.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD000522BL	1.00	2.99	6/19/15	Bracelet - HHI - Glitter			0.46	Product	I-51703	P-2342	2.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDIPHONE-YE/TD-4CI	1.00	4.00	6/19/15	iPhone Cover, YE/TD, 4CI	Yellow/Tie Dye		1.07	Product	I-51704	P-2225	4.00	iPhone 4 Card Insert	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-YO-M	1.00	17.00	6/19/15	Hanes Beefy S/S, YO, M	Carolina Blue		3.15	T-Shirt	I-51705	P-3217	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-PR-L	1.00	17.00	6/19/15	Hanes Beefy S/S, PR, L	Purple		3.36	T-Shirt	I-51705	P-3230	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD5180CD-FT-M	1.00	15.00	6/19/15	Camo Dog S/S, FT, M	Fatigue Green		3.31	T-Shirt	I-51705	P-3125	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00024STK	1.00	1.00	6/19/15	Clear Salty Dog Decal Sticker			0.25	Product	I-51706	P-7339	1.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWG5000-2283C-XL	1.00	12.00	6/19/15	Color of the Week, Neon Green, XL	2283C	Neon Green	2.26	T-Shirt	I-51707	P-7717	12.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-BU-S	1.00	19.00	6/19/15	Comfort Soft S/S, BU, S	Butter		4.10	T-Shirt	I-51707	P-3133	19.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-PR-M	1.00	17.00	6/19/15	Hanes Beefy S/S, PR, M	Purple		3.31	T-Shirt	I-51708	P-3211	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-DM-L	1.00	17.00	6/19/15	Hanes Beefy S/S, DM, L	DM		3.03	T-Shirt	I-51709	P-3424	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-DM-L	1.00	17.00	6/19/15	Hanes Beefy S/S, DM, L	DM		3.03	T-Shirt	I-51710	P-3424	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5380PD-NY-M	1.00	12.00	6/19/15	Youth Patriot Dog S/S, NY, M	Navy		3.02	Specialty Prints	I-51711	P-2719	12.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDDAKOTA-TD-XL	1.00	29.00	6/19/15	Dakota Rae Tie Dye S/S, TD, XL	TD	Tie Dye	14.04	T-Shirt	I-51712	P-7681	29.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00T252-NY/WH-XL	-1.00	-25.00	6/19/15	Dri-Balance S/S-Mesh, NY/WH, XL	Navy/White		11.00	T-Shirt	I-51713	P-3180	25.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SD0882L-AP-M	1.00	15.00	6/19/15	Tank Top - Women's, AP, M	AP		1.78	T-Shirt	I-51713	P-7221	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51713	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SDDOGGIE5	1.00	5.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51713	P-1004	5.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SDDOGGIE10	1.00	10.00	6/19/15	Doggie Deal			0.00	Markdowns	I-51714	P-1001	10.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00B100-PI-18M	1.00	13.00	6/19/15	Infant Romper, PI, 12-18M	PI		4.04	Infant / Toddler	I-51715	P-1578	13.00	12-18M	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
689076894777	1.00	8.95	6/19/15	Story Book - Legend of Jake the Salty Dog	Hardcover		2.07	Product	I-51715	P-2341	8.95		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD60516 - White - S/M	-1.00	-15.00	6/19/15	Hat - Youth Bucket - White - S/M	White		6.00	Hat	I-51716	P-1535	15.00	S/M	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD03401-Light Pink-12M	1.00	13.00	6/19/15	Infant Tee - Light Pink, 12M	Light Pink		1.97	T-Shirt	I-51717	P-3624	13.00	12M	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDETBTSB-NY-XL	1.00	17.00	6/19/15	Bamboo S/S, NY, XL	NY		6.85	T-Shirt	I-51718	P-3122	17.00	XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD3413C-Navy-L	1.00	22.00	6/19/15	Triblend S/S, Navy, L	Navy		4.59	T-Shirt	I-51718	P-3436	22.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SP5180PD-NY-L	-1.00	-12.00	6/19/15	Patriot Dog S/S, NY, L	Navy		3.25	T-Shirt	I-51719	P-3287	12.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	
SP5180PD-NY-XL	1.00	12.00	6/19/15	Patriot Dog S/S, NY, XL	Navy		3.32	T-Shirt	I-51719	P-3288	12.00	XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	
SP3522VC-BK-2X/3X	1.00	18.00	6/19/15	V-Neck Beach Cover-Up, BK, 2X/3X	BK		7.00	Specialty Prints	I-51720	P-2672	18.00	2X/3X	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD1000YTD-TD-XS	1.00	20.00	6/19/15	Youth Tie Dye S/S, TD, XS	Tie Dye		4.25	T-Shirt	I-51721	P-4070	20.00	XS	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
CSTMTDY-WH-M	1.00	20.00	6/19/15	Custom Tie-Dye - Youth S/S, WH, M	WH		2.30	T-Shirt	I-51721	P-3496	20.00	M	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SP3522VC-HP-L/XL	1.00	18.00	6/19/15	V-Neck Beach Cover-Up, HP, L/XL	HP		6.20	Specialty Prints	I-51721	P-2670	18.00	L/XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SP5180RC-DM-L	1.00	15.00	6/19/15	Racer Dog S/S, DM, L	DM		3.38	Specialty Prints	I-51721	P-7010	15.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
729173901197	1.00	3.99	6/19/15	Magnet - my Grand Dogs			1.25	Pet	I-51721	P-1786	3.99		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD052365A-Dog Report-OSFA	1.00	3.00	6/19/15	Card, Dog Report, OSFA	Dog Report		1.50	Product	I-51721	P-7531	3.00	OSFA	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDMGCS30LOGO	1.00	1.50	6/19/15	Magnet - Logo - Logo			0.36	Product	I-51721	P-2149	1.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDMGCS30JAKE	1.00	1.50	6/19/15	Magnet - Jake - Jake			0.67	Product	I-51721	P-2148	1.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001301PI	1.00	1.99	6/19/15	3-Step Lid - Light Pink	Light Pink		0.51	Pet	I-51722	P-1779	1.99	OSFA	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD9018DD-NY-XS	1.00	14.00	6/19/15	Youth Dog Did It S/S, NY, XS	Navy		3.85	T-Shirt	I-51722	P-4060	14.00	XS	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDJK780B-PB-S	1.00	14.00	6/19/15	Youth Big Jake S/S, PB, S	PB		2.51	Specialty	I-51722	P-7018	14.00	S	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD005380-YO-M	1.00	15.00	6/19/15	Youth Beefy S/S, YO, M	Carolina Blue		2.48	T-Shirt	I-51722	P-4037	15.00	M (10-12)	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
CWG5000-2283C-XL	1.00	12.00	6/19/15	Color of the Week, Neon Green, XL	2283C	Neon Green	2.26	T-Shirt	I-51722	P-7717	12.00	XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD08836-Neon Pink-2X	1.00	30.40	6/19/15	Women's V Hoody, Neon Pink, 2X (20% OFF Sweatshirts)	Neon Pink	Neon Pink	16.40	Sweatshirt	I-51723	P-7504	30.40	2X	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD1000TD-TD-S	1.00	20.00	6/19/15	Tie-Dye S/S, TD, S	Tie Dye		4.25	T-Shirt	I-51723	P-3298	20.00	S	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD1000TD-TD-2X	1.00	20.00	6/19/15	Tie-Dye S/S, TD, 2X	Tie Dye		5.50	T-Shirt	I-51723	P-3375	20.00	2X	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD1000TD-BJ-XL	1.00	20.00	6/19/15	Tie-Dye S/S, BJ, XL	Blue Jerry Tie Dye		4.25	T-Shirt	I-51723	P-3305	20.00	XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD005180-LI-XL	-1.00	-17.00	6/19/15	Hanes Beefy S/S, LI, XL	Lime		3.42	T-Shirt	I-51724	P-3256	17.00	XL	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001717-FL-XL	1.00	19.00	6/19/15	Comfort Soft S/S, FL, XL	Flo Blue		4.22	T-Shirt	I-51725	P-3166	19.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDKOOZIEBL	1.00	2.99	6/19/15	Koozie - Foam - Blue	Blue		0.78	Product	I-51725	P-2042	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDKOOZIEBL	1.00	2.99	6/19/15	Koozie - Foam - Blue	Blue		0.78	Product	I-51725	P-2042	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD003301-LW-3T	1.00	13.00	6/19/15	Toddler T S/S, LW, 3T	LW		1.71	Infant / Toddler	I-51726	P-1600	13.00	3T	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00B100-PI-6M	1.00	13.00	6/19/15	Infant Romper, PI, 3-6M	PI		4.00	Infant / Toddler	I-51726	P-1572	13.00	3-6M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001566-IR-M	1.00	28.00	6/19/15	Sweatshirt-Stonewash, IR, M (20% OFF Sweatshirts)	IR	Island Reef	14.07	Sweatshirt	I-51727	P-7597	28.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-PR-M	1.00	17.00	6/19/15	Hanes Beefy S/S, PR, M	Purple		3.31	T-Shirt	I-51727	P-3211	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180GJ-DY-XL	1.00	15.00	6/19/15	Gentleman Jake, DY, XL	DY		3.22	Specialty	I-51727	P-2446	15.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
689076894470	1.00	5.99	6/19/15	Mini Jake w/ Clip - Black	Jake		3.77	Product	I-51728	P-2339	5.99	Mini	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00JWLBL	1.00	0.75	6/19/15	Pencil - Blue	Blue		0.18	Product	I-51728	P-2265	0.75	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD003301-LW-4T	-1.00	-13.00	6/19/15	Toddler T S/S, LW, 4T	LW		1.72	Infant / Toddler	I-51729	P-1607	13.00	4T	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDDAKOTA-TD-S	-1.00	-29.00	6/19/15	Dakota Rae Tie Dye S/S, TD, S	TD	Tie Dye	14.04	T-Shirt	I-51729	P-7678	29.00	S	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDK45CA4 - Bubblegum - Adult	1.00	16.99	6/19/15	Hat - Women's Fit - Bubblegum - Adult	Bubblegum		5.75	Hat	I-51730	P-1503	16.99	Adult	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
CWG5000-7706C-2X	1.00	10.00	6/19/15	Color of the Week, 7706C, 2X	7706C	Antique Saphire	3.44	T-Shirt	I-51730	P-7565	10.00	2X	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SD00SL04-PS-M	1.00	17.00	6/19/15	Women's Classic Fit T, PS, M	Pale Pink		3.47	T-Shirt	I-51730	P-3832	17.00	M	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SD003301-RE-4T	1.00	13.00	6/19/15	Toddler T S/S, RE, 4T	RE		1.94	Infant / Toddler	I-51730	P-1611	13.00	4T	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SD00CRCUSRE	1.00	4.99	6/19/15	Croakies - Red	Red		1.35	Product	I-51730	P-2202	4.99	OSFA	The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
784369371338	1.00	7.99	6/19/15	Toy - Sea Shammie's - Octopus			3.24	Pet	I-51731	P-1946	7.99		The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDTEMPTATT	1.00	0.25	6/19/15	Tattoo - Temporary - Jake			0.08	Product	I-51731	P-2343	0.25		The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDTEMPTATT	1.00	0.25	6/19/15	Tattoo - Temporary - Jake			0.08	Product	I-51731	P-2343	0.25		The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDTEMPTATT	1.00	0.25	6/19/15	Tattoo - Temporary - Jake			0.08	Product	I-51731	P-2343	0.25		The Salty Dog - HHI, SC	Michael W	Tanger 2	6/19/15
SDC47MES - Sage - Adult	1.00	18.99	6/19/15	Hat - Cotton Mesh Back - Sage - Adult	Sage		6.00	Hat	I-51732	P-1410	18.99	Adult	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD0M1276CO	1.00	6.99	6/19/15	Bistro Mug - Cobalt - 16 oz	Cobalt		2.49	Product	I-51732	P-2056	6.99	16 oz	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD0030176ON	1.00	2.50	6/19/15	Fridge Clip - Orange	Orange		1.05	Product	I-51733	P-2155	2.50	OSFA	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD00357-SA-S	1.00	39.00	6/19/15	Ladies S/S Polo - SA - S	SA	Salmon	16.97	Polos	I-51734	P-7416	39.00	S	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD00357-TE-S	1.00	39.00	6/19/15	Ladies S/S Polo - TE - S	TE	Teal	16.97	Polos	I-51734	P-7421	39.00	S	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD0SOAP-Clove Mint-L	2.00	14.00	6/19/15	Soap - Hand Crafted, Clove Mint, L	Clove Mint	Clove Mint	3.50	Product	I-51734	P-7583	7.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD003311-NY-4T	1.00	13.00	6/19/15	Toddler T L/S, NY, 4T	NY		2.83	Infant / Toddler	I-51735	P-1588	13.00	4T	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SP2214FD-RE-S	1.00	16.00	6/19/15	Youth Football Dog L/S, RE, S	Red		4.83	Specialty Prints	I-51735	P-2686	16.00	S (6-8)	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD003588-LB-L	1.00	19.00	6/19/15	Women's L/S, LB, L	Light Blue		5.23	T-Shirt	I-51735	P-3790	19.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD005186-BK-L	1.00	20.00	6/19/15	Hanes Beefy L/S, BK, L	Black		6.40	T-Shirt	I-51735	P-3023	20.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001717-BE-M	1.00	19.00	6/19/15	Comfort Soft S/S, BE, M	Berry		4.23	T-Shirt	I-51736	P-3141	19.00	M	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001717-FL-3X	1.00	19.00	6/19/15	Comfort Soft S/S, FL, 3X	Flo Blue		6.45	T-Shirt	I-51736	P-3363	19.00	3X	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001717-BE-3X	1.00	19.00	6/19/15	Comfort Soft S/S, BE, 3X	Berry		6.30	T-Shirt	I-51736	P-3358	19.00	3X	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDMGCS30LOGO	1.00	1.50	6/19/15	Magnet - Logo - Logo			0.36	Product	I-51736	P-2149	1.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD00255-Red-OSFA	1.00	2.50	6/19/15	Poker Chip, Red	Red	Red	0.85	Product	I-51736	P-7476	2.50	OSFA	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
53768123405	1.00	0.50	6/19/15	Postcard - HHI			0.15	Product	I-51737	P-2298	0.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
53768123412	1.00	0.50	6/19/15	Postcard - Legend			0.12	Product	I-51737	P-2299	0.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
53768123412	1.00	0.50	6/19/15	Postcard - Legend			0.12	Product	I-51737	P-2299	0.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDMGCS30LOGO	1.00	1.50	6/19/15	Magnet - Logo - Logo			0.36	Product	I-51738	P-2149	1.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SDMGCS30JAKE	1.00	1.50	6/19/15	Magnet - Jake - Jake			0.67	Product	I-51738	P-2148	1.50		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
CWG5000-2283C-L	1.00	12.00	6/19/15	Color of the Week, Neon Green, L	2283C	Neon Green	2.40	T-Shirt	I-51738	P-7716	12.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SP5180PD-RE-L	1.00	12.00	6/19/15	Patriot Dog S/S, RE, L	Red		3.39	T-Shirt	I-51738	P-3407	12.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD005180-WH-L	1.00	10.00	6/19/15	Hanes Beefy S/S, WH, L	White		2.64	T-Shirt	I-51739	P-1074	10.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD001717-LG-L	1.00	19.00	6/19/15	Comfort Soft S/S, LG, L	Light Green		4.21	T-Shirt	I-51740	P-3158	19.00	L	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD0STCKRCO	1.00	2.99	6/19/15	Sticker - Cut Out - HHI	Hilton Head		1.50	Product	I-51741	P-7101	2.99		The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD005100BL	1.00	2.99	6/19/15	Luggage Tag - Blue	Blue		0.50	Product	I-51741	P-2195	2.99	OSFA	The Salty Dog - HHI, SC	Whitney C.	Tanger 2	6/19/15
SD002214-RE-M	1.00	16.00	6/19/15	Youth L/S, RE, M	Red		3.50	T-Shirt	I-51742	P-3978	16.00	M (10-12)	The Salty Dog - HHI, SC	Kelsie L.	Tanger 2	6/19/15
